date|time|description|vendor|amount
2024-09-15|08:00:23|Espresso Machine Cleaner|Urnex|-25.50
2024-03-01|11:30:45|Grinder Cleaning Tablets| Grindz|-18.75
2024-12-10|14:00:00|Milk Frother Cleaner|Rinza|-32.00
2024-01-20|09:15:00|Barista Cloths (Pack of 12)|Microfiber Solutions|-15.00
2024-05-05|16:45:12|Floor Cleaner|Easy Clean|-40.00
2025-02-18|10:00:00|Bucket and Mop| уборка|-22.00
2024-07-08|13:00:00|Cleaning Brushes Set|Bristle Bros|-12.50
2024-11-03|17:20:18|Sanitizing Spray|Sani-Spritz|-30.00
2025-04-01|12:00:00|Trash Bags (Box of 100)|TrashCo|-20.00
2024-06-22|19:00:00|Dish Soap (Gallon)|Soapy Suds|-10.00
